13:26:22:411 | TRACE | main | o.s.c.i.s.SpringFactoriesLoader | Loaded [org.springframework.boot.logging.LoggingSystemFactory] names: [org.springframework.boot.logging.logback.LogbackLoggingSystem.Factory, org.springframework.boot.logging.log4j2.Log4J2LoggingSystem.Factory, org.springframework.boot.logging.java.JavaLoggingSystem.Factory]
13:26:22:715 | TRACE | main | o.s.c.i.s.SpringFactoriesLoader | Loaded [org.springframework.boot.ApplicationContextFactory] names: [org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext.Factory, org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext.Factory]
13:26:22:745 | TRACE | main | o.s.c.a.ClassPathBeanDefinitionScanner | JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
13:26:22:758 | INFO  | main | c.e.d.DemoApplicationKt | Starting DemoApplicationKt using Java 11.0.11 on MN-JNETTLETON-M.localdomain with PID 68781 (/Users/jerrynettleton/github/jnettleton/ubuntu-workspace/springboot-demo/build/classes/kotlin/main started by jerrynettleton in /Users/jerrynettleton/github/jnettleton/ubuntu-workspace/springboot-demo)
13:26:22:760 | INFO  | main | c.e.d.DemoApplicationKt | The following 1 profile is active: "local"
13:26:22:761 | DEBUG | main | o.s.b.SpringApplication | Loading source class com.example.demo.DemoApplication
13:26:22:768 | TRACE | main | o.s.c.a.ClassPathBeanDefinitionScanner | JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
13:26:22:819 | TRACE | main | o.s.b.e.EnvironmentPostProcessor | RandomValuePropertySource add to Environment
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironmentPostProcessor | Post-processing environment to add config data
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Building config data environment contributors
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Creating wrapped config data contributor for 'configurationProperties'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Creating wrapped config data contributor for 'servletConfigInitParams'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Creating wrapped config data contributor for 'servletContextInitParams'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Creating wrapped config data contributor for 'systemProperties'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Creating wrapped config data contributor for 'systemEnvironment'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Creating wrapped config data contributor for 'random'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Adding initial config data import from location 'optional:file:./;optional:file:./config/;optional:file:./config/*/'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Adding initial config data import from location 'optional:classpath:/;optional:classpath:/config/'
13:26:22:820 | TRACE | main | o.s.b.c.c.ConfigDataEnvironment | Processing initial config data environment contributors without activation context
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataEnvironmentContributors | Processing imports for phase BEFORE_PROFILE_ACTIVATION. no activation context
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataEnvironmentContributors | Processing imports [optional:file:./;optional:file:./config/;optional:file:./config/*/]
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./application.yaml
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./application.yml
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./application.xml
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./application.properties
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./config/application.yaml
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./config/application.yml
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./config/application.xml
13:26:22:821 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource file:./config/application.properties
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataLoaders | Loading file [.] using loader org.springframework.boot.context.config.StandardConfigDataLoader
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataEnvironmentContributors | Imported 1 resource [file [.]]
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataEnvironmentContributors | Processing imports [optional:classpath:/;optional:classpath:/config/]
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/application.yaml
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/application.xml
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/application.properties
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/config/application.yaml
13:26:22:822 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/config/application.yml
13:26:22:823 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/config/application.xml
13:26:22:823 | TRACE | main | o.s.b.c.c.ConfigDataLocationResolver | Skipping missing resource classpath:/config/application.properties
13:26:22:823 | TRACE | main | o.s.b.c.c.ConfigDataLoaders | Loading class path resource [application.yml] using loader org.springframework.boot.context.config.StandardConfigDataLoader
